VFG,BINNING
V75,CHARGER DOOR | FROZEN
V75,CHARGER DOOR | OWD
V31,WINDOW WEATHERSTRIPPING | LOOSE DETACHED
V31,WINDSHIELD WEATHERSTRIPPING | LOOSE / DETACHED
V09,WINDOW DEFROSTER | MALFUNCTION
V09,WINDSHIELD DEFROSTER | MALFUNCTION
V09,WINDOW | VIBRATION
V37,WINDSHIELD | WATER LEAK
V09,WINDSHIELD | SHATTERED
V09,WINDSHIELD | SEALING
V09,WINDSHIELD | POOR VISIBILITY
V09,WINDSHIELD | PAINT PEELING OFF
V09,WINDSHIELD | LOOSE
V09,WINDSHIELD | IMPROPER ASSEMBLY
V09,WINDSHIELD | DISTORTION
V09,WINDSHIELD | DESIGN
V09,WINDSHIELD | CRACKED
V09,WINDSHIELD | UNKNOWN
V09,WINDSHIELD WELL DESIGN | COLLECT DEBRIS
V09,WINDOW MOLDING | LOOSE
V09,WINDOW MOLDING | FELL OFF
V09,WINDOW GLASS | EXPLODED
V31,DOOR | EFFORT TO CLOSE 
V09,WINDSHIELD | DELAMINATION
V09,WINDOW GLASS | CRACKED
V09,WINDOW DESIGN | EASILY FOGGING
V09,WINDOW CONTROLS | MALFUNCTION
V09,WINDOW CONTROLS | POWER
V09,WINDOW CONTROLS | OPENING
V37,WINDOW | WATER LEAK
V09,WINDOW | SCRATCHED
V09,WINDOW | RATTLE
V09,WINDOW | OPENING TROUBLES
V09,WINDOW | OPENING / CLOSING TROUBLES
V75,WHEEL WELL DESIGN | COLLECT SNOW / WATER / DEBRIS
V31,FRAME | WELD
V31,DRIVER SIDE FRAME | WELD
V38,WATER RUNOFF SOFT TOP | DESIGN
V38,WATER RUNOFF ROOF | DESIGN
V31,DOOR | EFFORT TO OPEN
V09,WINDOW | DISTORTION
V09,WINDOW | DEFROST
V09,WINDOW | CLOSING TROUBLES
V37,UNKNOWN | WATER LEAK
V37,TAIL LIGHTS | WATER LEAK
V37,SWING GATE | WATER LEAK
V31,HARDTOP ROOF | WATER LEAK
V37,ROOF | WATER LEAK
V37,REAR WINDOW | WATER LEAK
V37,REAR REFLECTORS | WATER LEAK
V09,SLIDING REAR WINDOW | SEALING
V09,SLIDING REAR WINDOW | RAIL VIBRATION
V09,SLIDING REAR WINDOW | MALFUNCTION
V09,MOONROOF MOLDING | FELL OFF
V37,DOME LIGHT | WATER LEAK
V37,LIGHTING | WATER LEAK
V15,WASHER | MALFUNCTION
V15,WASHER | FROZEN
V31,UNDER ENGINE SHIELD | LOOSE
V77,TURN SIGNAL | MALFUNCTION
V75,TONNEAU COVER | FELL OFF
V07,TAILGATE LATCH | OWD
V07,TAILGATE LATCH | MALFUNCTION
V77,TAIL LIGHTS | CRACKED
V77,TAIL LIGHTS LENS | CRACKED
V37,TAILGATE | WATER LEAK
V37,LIFTGATE | WATER LEAK
V77,TAIL LIGHTS | MALFUNCTION
V77,TAIL LIGHTS | INOP
V07,TAILGATE LATCH | FROZEN
V07,SWING GATE LATCH | OWD
V31,DOOR | F&F
V31,DOOR | FRAMELESS
V09,SLIDING REAR WINDOW GLASS | LOOSE
V09,SLIDING REAR WINDOW | DETACHED
V09,SLIDING REAR WINDOW | CRACKED
V09,SIDE WINDOW  | FELL OFF
V75,SKID PLATE | RUST SPOT
V75,SIDE STEP | FELL OFF
V13,SIDE MIRRORS TURN SIGNAL | MALFUNCTION
V13,SIDE MIRRORS BLIS | MALFUNCTION
V13,SIDE MIRRORS | MALFUNCTION
V13,SIDE MIRRORS | LOOSE
V13,SIDE MIRRORS | FROZEN
V31,SHEET METAL | SHARP EDGE
V31,DOOR | HINGE
V31,SHEET METAL | DENTS / DINGS 
V75,RUNNING BOARDS PLASTIC | FELL OFF
V75,RUNNING BOARDS | MALFUNCTION
V75,ROOF RACK CROSS BARS | MISSING PARTS
V75,ROOF RACK | LOOSE
V75,ROOF DITCH MOLDING | LOOSE / FELL OFF
V15,REAR WIPER MOTOR | MALFUCTION
V15,REAR WIPER | MALFUNCTION
V13,REAR VIEW MIRROR CAMERA | MALFUNCTION
V13,REAR VIEW MIRROR DESIGN | BLIND SPOT
V13,REAR VIEW MIRROR | MALFUNCTION
V37,HEADLIGHTS | WATER LEAK
V37,FLOOR | FLUID LEAK
V37,FLOOR | WATER LEAK
V75,POWER RUNNING BOARDS | MALFUNCTION
V07,POWER TAILGATE | OWD
V07,POWER LIFTGATE | OWD
V07,POWER TAILGATE | MALFUNCTION
V07,POWER LIFTGATE | MALFUNCTION
V31,PICKUP BOX 
V75,MUDFLAPS | FELL OFF
V09,MOONROOF GLASS | LOOSE / FELL OFF
V09,HARD TOP | WIND NOISE
V09,REAR WINDOW | F&F
V09,MOONROOF GLASS | EXPLODED
V09,MOONROOF GLASS | CRACKED
V37,MOONROOF | WATER LEAK
V09,MOONROOF RAIL | BROKEN
V09,MOONROOF | SEALING
V09,MOONROOF | PANEL BRACKET
V09,MOONROOF | MALFUNCTION
V09,MOONROOF | IMPROPER ASSEMBLY
V77,LAMP / LIGHT | MELTED BULB
V31,DOOR | OPEN
V77,LIGHTING | MALFUNCTION
V77,LIGHTING | INOP
V31,DOOR | SEALING
V07,LIFTGATE LATCH | UNINTENDED CLOSING
V07,LIFTGATE LATCH | OWD
V07,LIFTGATE LATCH | MISALIGNED
V07,LIFTGATE LATCH | MALFUNCTION
V31,LIFTGATE PANEL | CRACKED
V31,LIFTGATE | POOR WELD
V31,LIFTGATE | EFFORT TO CLOSE 
V31,LIFTGATE CLOSE BUTTON | MALFUNCTION 
V07,KEY IGNITION LOCKED UP
V07,KEY IGNITION 
V07,IGNITION 
