,CMPLID,ODINO,MFR_NAME,MAKETXT,MODELTXT,YEARTXT,CRASH,FAILDATE,FIRE,INJURED,DEATHS,COMPDESC,CITY,STATE,VIN,DATEA,LDATE,MILES,OCCURENCES,CDESCR,CMPL_TYPE,POLICE_RPT_YN,PURCH_DT,ORIG_OWER_YN,ANTI_BRAKES_YN,CRUISE_CONT_YN,NUM_CYLS,DRIVE_TRAIN,FUEL_SYS,FUEL_TYPE,TRASN_TYPE,VEH_SPEED,DOT,TIRE_SIZE,LOC_OF_TIRE,TIRE_FAIL_TYPE,ORIG_EQUIP_YN,MANUF_DT,SEAT_TYPE,RESTRAINT_TYPE,DEALER_NAME,DEALER_TEL,DEALER_CITY,DEALER_STATE,DEALER_ZIP,PROD_TYPE,REPAIRED_YN,MEDICAL_ATTN,VEHICLES_TOWED_YN,YEAR.TXT,FULL_STATE,FAIL_QUARTER,FULL_VIN,EXTRACTED_DATE,FUNCTION_,COMPONET,FAILURE,BINNING,VFG,FAILURE_MODE,REPAIR_DATE_1,REPAIR_DATE_2,To_be_Binned,NewOld,New_Failure_Mode,MILEAGE_CLASS,PROD_DATE,VEHICLE_LINE_WERS,VEHICLE_LINE_GSAR,VEHICLE_LINE_GLOBAL,ASSEMBLY_PLANT,WARRANTY_START_DATE
0,1971343,11575131,Ford Motor Company,FORD,F-250,2012.0,N,01/08/2020,N,0,0,STEERING,Highlands Ranch,CO,1FT7W2BT4CE,03/03/2024,03/03/2024,,,The front end suspension and steering suddenly shakes violently after hitting a bump or uneven road at speeds above 50 MPH. The only way to stop it is to quickly slow down almost to a stop. Very scary and very dangerous. ,IVOQ,N,,N,N,N,,,,,,60.0,,,,,,,,,,,,,,V,,N,N,2012,Colorado,Q1,1FT7W2BT4CEC00273,02/22/2024,NOT F8,~,~,~ | ~, ~ ,,,,,New,,> 36K,04/25/2012,T/FA - P473N SUPER DUTY [11-16],F7 - F250HD/350/450/550,F8 - F-SERIES SUPERDUTY (NA-KTP),A1 - KENTUCKY TRUCK PLANT,12/28/2012
1,1971366,11575147,Ford Motor Company,FORD,F-150,2017.0,N,02/29/2024,N,0,0,UNKNOWN OR OTHER,Addison ,IL,1FTEX1EP5HF,03/03/2024,03/03/2024,,,2/29/2024  driver side tire was flat  3/1/24: I wanted to put the spare so that I could take the fire for repair. But the factory issue lug nut wrench does not fit. How can you do this to people? This is ridiculous  3/2/24 I went to the store to buy a nut remover  This should not be allowed to happen and you get away without giving the customer a proper tool ,IVOQ,N,,N,N,N,,,,,,,,,,,,,,,,,,,,V,,N,N,2017,Illinois,Q1,1FTEX1EP5HFC02211,02/22/2024,NOT F8,~,~,~ | ~, ~ ,,,,,New,,> 36K,04/10/2017,T/FC - P552N F-150 [15-20],F6 - F150,FE - F150 (NA-DTP),AF - DEARBORN PLANT BUILD,08/24/2017
2,1971369,11575148,Ford Motor Company,FORD,FOCUS,2012.0,N,02/15/2023,N,0,0,SERVICE BRAKES,Roland,IA,1FAHP3N28CL,03/03/2024,03/03/2024,,,Intermittent loss of brake pressure. ABS would activate and leave the brake pedal feeling soft and having low brake pressure. This problem would randomly fix itself and then randomly happen again while braking normally or after the ABS would engage. Sometime the problem would last for weeks until suddenly the brake pedal would be firm and have strong brake pressure. ,IVOQ,N,,N,N,N,,,,,,25.0,,,,,,,,,,,,,,V,,N,N,2012,Iowa,Q1, ,02/22/2024,NOT F8,~,~,~ | ~, ~ ,,,,,New,,> 36K,,,,,,
3,1971399,11575169,Ford Motor Company,FORD,F-150,2005.0,N,03/03/2024,N,0,0,SUSPENSION,Atchison ,KS,1FTPW14525K,03/03/2024,03/03/2024,,,Nothing has happened yet but frame of truck is rusting apart and suspension is going to fall off. This is not just this truck it’s lots of 04-06 f150 ,IVOQ,N,,N,N,N,,,,,,,,,,,,,,,,,,,,V,,N,N,2005,Kansas,Q1,1FTPW14525KC63871,02/22/2024,NOT F8,~,~,~ | ~, ~ ,,,,,New,,> 36K,12/22/2004,T/F6 - F150/LINCOLN MARK LT [04-14],F6 - F150,FK - F-SERIES (NA-KCAP),AJ - KANSAS CITY PLANT BUILD,01/26/2005
4,1971412,11575176,Ford Motor Company,FORD,ESCAPE,2017.0,N,11/27/2023,N,0,0,ENGINE,Alexandria ,LA,1FMCU0GD6HU,03/03/2024,03/03/2024,,,"Brought vehicle in for check engine light. Ford mechanic stated that the engine is failing due to coolant leaking into the cylinders , and that this is a known problem. Vehicle stalled and is no longer operational. ",IVOQ,N,,N,N,N,,,,,,,,,,,,,,,,,,,,V,,N,N,2017,Louisiana,Q4,1FMCU0GD6HUC27638,02/22/2024,NOT F8,~,~,~ | ~, ~ ,,,,,New,,> 36K,11/16/2016,T/M2 - C520N ESCAPE [13-19],M1 - ESCAPE,M3 - ESCAPE (NA-LOUISVILLE),AN - LOUISVILLE PLANT BUILD,12/13/2016
5,1971424,11575184,Ford Motor Company,FORD,F-150,2010.0,N,03/03/2024,N,0,0,ELECTRICAL SYSTEM,Chicago,IL,1FTFW1EV1AK,03/03/2024,03/03/2024,,,"Am make this report because suddenly stop the vehicle run. Without lights on the dashboard. And either when give a jumper cables runs on reverse. That happen today [XXX] about [XXX] on Chicago IL. Fortunately some to person help me out to put  the truck on parking the truck was going on reverse and stopped the truck. No body was hurt. Should you have to send to letters to the owners of the trucks send to recall for malfunction of the manufacturer. Will hope hear my concern. INFORMATION REDACTED PURSUANT TO THE FREEDOM OF INFORMATION ACT (FOIA), 5 U.S.C. 552(B)(6) ",IVOQ,N,,N,N,N,,,,,,25.0,,,,,,,,,,,,,,V,,N,N,2010,Illinois,Q1,1FTFW1EV1AKB25601,02/22/2024,NOT F8,~,~,~ | ~, ~ ,,,,,New,,> 36K,11/19/2009,T/F6 - F150/LINCOLN MARK LT [04-14],F6 - F150,FK - F-SERIES (NA-KCAP),AJ - KANSAS CITY PLANT BUILD,12/14/2009
6,1971435,11575191,Ford Motor Company,FORD,ESCAPE,2020.0,N,03/03/2024,N,0,0,ELECTRICAL SYSTEM,Orlando,FL,1FMCU0BZ4LU,03/03/2024,03/03/2024,,,Driving the 2020 Ford Escape it completely shut down during a rain storm requiring us to pull off the main road coasting to a stop. Very concerned with the fact that The emergency flashers did not function and the rest of the dash and LCD panel went black. After 20 minutes I was able to get the vehicle started but the check engine light was illuminated and I was able to drive the 1/2 mile home. The car is in our driveway and I have a service appointment on 3/6. With this potential problem in place I do not want to drive it if it will shut down in the middle of the interstate highway.,IVOQ,N,,N,N,N,,,,,,40.0,,,,,,,,,,,,,,V,,N,N,2020,Florida,Q1,1FMCU0BZ4LUB89368,02/22/2024,NOT F8,~,~,~ | ~, ~ ,,,,,New,,> 36K,08/25/2020,C/TC - CX482N ESCAPE [20-24],M6 - ESCAPE HYBRID,M8 - ESCAPE HYBRID (NA-LOUISVILLE),AN - LOUISVILLE PLANT BUILD,12/29/2020
7,1971444,11575195,Ford Motor Company,FORD,EXPLORER,2013.0,N,02/21/2024,N,0,0,STEERING,Miramar,FL,1FM5K7B81DG,03/03/2024,03/03/2024,,,"Power steering became very hard and got stuck suddenly while driving, very dangerous. Was very difficult to steer the car or move the steering even an inch. Good that was driving at low speed, otherwise could have been an accident. After 2 days it started showing warning message about power sterring but at time of steering got stuck there was no warning. In process to repair, it's very dangerous as steering got stuck out of no where and expensive to have it fixed (approximately 1600 dollars).",IVOQ,N,,N,N,N,,,,,,15.0,,,,,,,,,,,,,,V,,N,N,2013,Florida,Q1, ,02/22/2024,NOT F8,~,~,~ | ~, ~ ,,,,,New,,> 36K,,,,,,
8,1971448,11575199,Ford Motor Company,FORD,C-MAX,2013.0,N,03/03/2024,N,0,0,TIRES,North Charleston,SC,1FADP5BU0DL,03/03/2024,03/03/2024,,,225/57/17 driving down the interstate and the tire blew,IVOQ,N,,N,N,N,,,,,,40.0,,,,,,,,,,,,,,V,,N,N,2013,South Carolina,Q1,1FADP5BU0DL533440,02/22/2024,NOT F8,~,~,~ | ~, ~ ,,,,,New,,> 36K,04/02/2013,C/CG - C344N C-MAX [13-18],CG - C-MAX HYBRID,CZ - C-MAX HYBRID (NA-MP),AP - MICHIGAN ASSEMBLY,05/30/2013
9,1971454,11575201,Ford Motor Company,FORD,FUSION,2019.0,N,05/13/2022,N,0,0,UNKNOWN OR OTHER,Bradenton,FL,3FA6P0RU8KR,03/03/2024,03/03/2024,280621.0,,Wheel axle no good give out every 1-2 years have to replace,IVOQ,N,,N,N,N,,,,,,,,,,,,,,,,,,,,V,,N,N,2019,Florida,Q2,3FA6P0RU8KR138759,02/22/2024,NOT F8,~,~,~ | ~, ~ ,,,,,New,,> 36K,10/24/2018,C/C7 - CD391N FUSION [13-20],DH - FUSION HYBRID,DI - FUSION HYBRID CD391 (NA HSAP),A3 - HERMOSILLO ASSY PLANT,11/08/2018
